è	e800	0xa899
ī	2b01	0xa89a
í	ed00	0xa89b
ǐ	d001	0xa89c
ì	ec00	0xa89d
ō	4d01	0xa89e
ó	f300	0xa89f
ǒ	d201	0xa8a0
ò	f200	0xa8a1
ū	6b01	0xa8a2
ú	fa00	0xa8a3
ǔ	d401	0xa8a4
ù	f900	0xa8a5
ǖ	d601	0xa8a6
ǘ	d801	0xa8a7
ǚ	da01	0xa8a8
ǜ	dc01	0xa8a9
ü	fc00	0xa8aa
ê	ea00	0xa8ab
ê	0000	0xa8ab
ê	0000	0xa8ab
ê	0000	0xa8ab
ê	0000	0xa8ab
ê	0000	0xa8ab
ê	0000	0xa8ab
ê	0000	0xa8ab
ê	0000	0xa8ab
ê	0000	0xa8ab
ê	0000	0xa8ab
ㄅ	0531	0xa8b6
ㄆ	0631	0xa8b7
ㄇ	0731	0xa8b8
ㄈ	0831	0xa8b9
ㄉ	0931	0xa8ba
ㄊ	0a31	0xa8bb
ㄋ	0b31	0xa8bc
ㄌ	0c31	0xa8bd
ㄍ	0d31	0xa8be
ㄎ	0e31	0xa8bf
ㄏ	0f31	0xa8c0
ㄐ	1031	0xa8c1
ㄑ	1131	0xa8c2
ㄒ	1231	0xa8c3
ㄓ	1331	0xa8c4
ㄔ	1431	0xa8c5
ㄕ	1531	0xa8c6
ㄖ	1631	0xa8c7
ㄗ	1731	0xa8c8
ㄘ	1831	0xa8c9
ㄙ	1931	0xa8ca
ㄚ	1a31	0xa8cb
ㄛ	1b31	0xa8cc
ㄜ	1c31	0xa8cd
ㄝ	1d31	0xa8ce
ㄞ	1e31	0xa8cf
ㄟ	1f31	0xa8d0
ㄠ	2031	0xa8d1
ㄡ	2131	0xa8d2
ㄢ	2231	0xa8d3
ㄣ	2331	0xa8d4
ㄤ	2431	0xa8d5
ㄥ	2531	0xa8d6
ㄦ	2631	0xa8d7
ㄧ	2731	0xa8d8
ㄨ	2831	0xa8d9
ㄩ	2931	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
ㄩ	0000	0xa8da
─	0025	0xa8f3
━	0125	0xa8f4
│	0225	0xa8f5
┃	0325	0xa8f6
┄	0425	0xa8f7
┅	0525	0xa8f8
┆	0625	0xa8f9
┇	0725	0xa8fa
┈	0825	0xa8fb
┉	0925	0xa8fc
┊	0a25	0xa8fd
┋	0b25	0xa8fe
┌	0c25	0xa8ff
┍	0d25	0xa900
┎	0e25	0xa901
┏	0f25	0xa902
┐	1025	0xa903
┑	1125	0xa904
┒	1225	0xa905
┓	1325	0xa906
└	1425	0xa907
┕	1525	0xa908
┖	1625	0xa909
┗	1725	0xa90a
┘	1825	0xa90b
┙	1925	0xa90c
┚	1a25	0xa90d
┛	1b25	0xa90e
├	1c25	0xa90f
┝	1d25	0xa910
┞	1e25	0xa911
┟	1f25	0xa912
┠	2025	0xa913
┡	2125	0xa914
┢	2225	0xa915
┣	2325	0xa916
┤	2425	0xa917
┥	2525	0xa918
┦	2625	0xa919
┧	2725	0xa91a
┨	2825	0xa91b
┩	2925	0xa91c
┪	2a25	0xa91d
┫	2b25	0xa91e
┬	2c25	0xa91f
┭	2d25	0xa920
┮	2e25	0xa921
┯	2f25	0xa922
┰	3025	0xa923
┱	3125	0xa924
┲	3225	0xa925
┳	3325	0xa926
┴	3425	0xa927
┵	3525	0xa928
┶	3625	0xa929
┷	3725	0xa92a
┸	3825	0xa92b
┹	3925	0xa92c
┺	3a25	0xa92d
┻	3b25	0xa92e
┼	3c25	0xa92f
┽	3d25	0xa930
┾	3e25	0xa931
┿	3f25	0xa932
╀	4025	0xa933
╁	4125	0xa934
╂	4225	0xa935
╃	4325	0xa936
╄	4425	0xa937
╅	4525	0xa938
╆	4625	0xa939
╇	4725	0xa93a
╈	4825	0xa93b
╉	4925	0xa93c
╊	4a25	0xa93d
╋	4b25	0xa93e
